kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,10,6,6,1000000,500,76
primer_density_study,10,6,6,1000000,1500,238
primer_density_study,10,6,6,1000000,3500,532
primer_density_study,10,6,6,1000000,13500,1636
primer_density_study,10,6,6,1000000,28500,2849
primer_density_study,10,6,6,1000000,53500,4241
primer_density_study,10,6,6,1000000,103500,6035
primer_density_study,10,6,6,1000000,203500,8216
primer_density_study,10,6,6,1000000,403500,10774
primer_density_study,10,6,6,1000000,503500,11632
primer_density_study,10,6,6,1000000,603500,12324
primer_density_study,10,6,6,1000000,703500,12943
primer_density_study,10,6,6,1000000,803500,13453
primer_density_study,10,6,6,1000000,903500,13916
primer_density_study,10,6,6,1000000,1003500,14331
primer_density_study,10,6,6,1000000,1203500,15026
primer_density_study,10,6,6,1000000,1403500,15673
primer_density_study,10,6,6,1000000,1603500,16243
primer_density_study,10,6,6,1000000,1803500,16716
primer_density_study,10,6,6,1000000,2003500,17159
